Social Security Number,Name,Race,Country,Sentence_lenght
845-44-6208,Elisabet Vivers,Filipino,Sweden,379
212-13-3505,Fransisco Lawrie,Guamanian,China,88
738-85-5612,Ewell Tickle,Asian Indian,China,214
529-95-0569,Nanine Howitt,Yakama,Portugal,118
338-06-1219,Benito Fishburn,Delaware,Peru,164
294-11-2537,Patrizio Chong,Latin American Indian,Argentina,307
515-80-2086,Bevvy Christmas,American Indian and Alaska Native (AIAN),Jordan,198
308-26-2713,Jasun Hoffmann,Sioux,Czech Republic,105
606-66-2771,Ora Studdard,Sri Lankan,Poland,23
351-20-5214,Lukas Caulcott,Puget Sound Salish,Croatia,202
172-03-1198,Finn Coase,Thai,Vietnam,399
578-19-9793,Rayna Bresner,Cree,Venezuela,295
619-06-3497,Dorey Jaggi,Samoan,Indonesia,334
614-59-0964,Dan Shaddock,Pima,Greece,26
207-12-5682,Elva Walsh,Micronesian,Uruguay,331
174-25-8587,Filia Jeffers,Argentinian,Poland,149
151-68-8435,Larry Polfer,Chinese,Peru,185
293-25-0528,Cyndie Churchward,Melanesian,Thailand,157
373-16-8943,Danika Cadding,Yaqui,Canada,242
234-92-7546,Zacharie Gobert,Tlingit-Haida,Indonesia,37
525-23-3723,Imelda Wimbush,White,Ukraine,293
449-70-6843,Cher Wenham,Uruguayan,Russia,65
349-58-8314,Miltie Menloe,Shoshone,Ukraine,351
658-14-5378,Damon Balcers,Tongan,Uganda,335
353-16-0211,Edna Brownrigg,Pakistani,Colombia,366
604-76-6160,Avrit Etherton,Sri Lankan,Greece,389
429-14-3512,Cornelia Cowins,Melanesian,China,364
131-80-8096,Kikelia Denford,Chickasaw,Poland,64
804-01-2738,Duffy Speechley,Crow,China,226
550-94-8184,Sigfrid Aldcorne,Pueblo,Azerbaijan,279
254-88-9742,Otho Emanulsson,Paiute,Canada,268
775-83-8924,Karine Trythall,Choctaw,Republic of the Congo,32
490-83-9984,Pepito Jaggli,Cherokee,Tunisia,384
556-01-2280,Marje De Hooge,Native Hawaiian and Other Pacific Islander (NHPI),Syria,33
242-13-9595,Perren Sudworth,Nicaraguan,United States,326
147-74-1761,Salmon Durante,Tongan,Philippines,5
432-73-1068,Lise Golborne,Pima,France,218
495-92-6060,Fawn Eschelle,Japanese,Portugal,157
557-96-1138,Kinny Hlavac,Colville,China,65
505-85-4107,Kale Chadwell,Ecuadorian,China,65
628-34-0848,Sheilakathryn Hartright,Pueblo,China,391
339-96-0192,Evelyn Wash,Ottawa,United States,238
399-13-7950,Ramona Rowston,Paiute,Bosnia and Herzegovina,381
583-89-2624,Fernanda Kermitt,Paiute,Indonesia,89
178-10-7030,Mattias Swyer-Sexey,Sri Lankan,Poland,261
140-39-0854,Park Paridge,Comanche,China,344
395-11-7116,Bertrando Leppingwell,Melanesian,Peru,150
479-15-1265,Sig Casper,Cambodian,China,96
113-27-3327,Luke Confort,Native Hawaiian,Philippines,32
672-08-3594,Davita Soda,Black or African American,China,210
624-14-8538,Sophi Wilber,Chickasaw,South Africa,305
367-57-9775,Keefer Cheel,Asian Indian,Bangladesh,217
154-34-1117,Dukie Balentyne,Delaware,China,282
296-13-0899,Gabey Medcalfe,Kiowa,China,296
291-35-3037,Melodie Renhard,Houma,Morocco,160
122-11-4915,Chrissie Colthard,Chilean,Puerto Rico,232
144-64-4181,Griselda Coade,Bolivian,France,173
640-78-3535,Enrica Rosterne,Sri Lankan,Philippines,396
429-19-8433,Hortensia Hoyes,Latin American Indian,Russia,326
422-89-9783,Duke Bernardino,Fijian,Portugal,14
437-56-7590,Lorant Collister,Vietnamese,China,242
886-65-1946,Almeria Gripton,Osage,China,201
302-19-0666,Pall Brunner,Bangladeshi,Portugal,299
866-02-2125,Imogen Bosher,Laotian,China,309
479-34-3551,Nannette Winckles,Alaskan Athabascan,China,253
833-54-8397,Granville Bentick,Cheyenne,China,352
879-55-4555,Micky Pedrielli,Guatemalan,China,311
846-56-4978,Philippa Moy,Central American,Sweden,165
625-03-1821,Dionne Matuszynski,Salvadoran,Japan,20
476-69-9087,Ariel Milkeham,Tongan,Portugal,358
781-17-0727,Phebe Bezzant,Polynesian,China,237
312-19-1070,Norina O'dell,Yuman,China,74
175-40-7388,Amelina Truckell,Yuman,Vietnam,391
242-45-0449,Gill Yoselevitch,Latin American Indian,Mali,159
418-84-4228,Alexia Losel,Panamanian,China,138
481-41-2274,Robinetta Jasper,Apache,China,237
408-26-5469,Meade Stronach,Indonesian,Poland,233
364-05-5305,Seward Kuzma,Malaysian,Indonesia,152
264-84-8469,Elbert Fippe,Laotian,China,271
565-30-1033,Etan Haken,Comanche,Philippines,188
721-83-8231,Vic Steuhlmeyer,Filipino,Argentina,317
538-42-8578,Ward Mathiasen,Micronesian,Philippines,88
421-46-7087,Ginnifer Capel,Chinese,Palestinian Territory,334
722-78-3101,Goddard Petley,Central American,Canada,24
159-92-0416,Eveleen Ruf,Micronesian,China,173
276-53-4822,Christabel Brownsett,Comanche,Portugal,97
630-83-0002,Hugibert Wavell,Argentinian,Myanmar,123
700-40-8257,Beltran Steed,Hmong,Mozambique,191
531-60-7836,Tate Wenn,Shoshone,Norway,389
729-82-0078,Berny Bevans,Native Hawaiian,Belarus,143
858-57-4389,Honey Jealous,Thai,Sweden,185
142-35-9141,Edouard Huetson,Puget Sound Salish,Syria,129
188-06-2028,Elias Newburn,Pakistani,Brazil,95
174-81-6640,Jacquie Pedro,Honduran,Lithuania,206
821-01-8589,Nellie Butland,Tohono O'Odham,Philippines,240
196-65-1095,Tadeo Kelso,Yaqui,China,211
732-43-6837,Crichton Loughlin,Native Hawaiian,Ukraine,160
665-29-9714,Francine Baughan,Panamanian,China,300
880-31-0072,Xaviera Titcombe,Asian Indian,Finland,308
417-60-8221,Gal De Bruijne,Guatemalan,Laos,91
676-65-4119,Jocko Lochrie,Nicaraguan,Belarus,243
557-41-6155,Sansone Giovannetti,Samoan,Russia,101
367-54-8765,Hayyim Moors,Crow,Kazakhstan,239
505-43-9959,Marni Coleman,Comanche,China,210
194-16-9915,Sib Glendenning,Chinese,Brazil,90
442-65-6892,Glen Taffarello,Micronesian,Portugal,399
676-49-3452,Burnaby Swaite,Ecuadorian,Albania,74
307-63-3484,Adaline Lilley,Salvadoran,Nigeria,189
284-26-8820,Kurt MacCaughan,Alaska Native,Yemen,97
527-51-4826,Sterne Jossum,Yaqui,China,34
434-96-0785,Sonya Holhouse,Osage,China,216
400-01-0577,Shaylyn O'Scanlan,Iroquois,Poland,98
615-86-0371,Perkin Roberts,Apache,Russia,25
726-46-2093,Farrel Abramamov,Japanese,Malaysia,318
400-26-7684,Arther Lints,Cheyenne,China,39
116-76-8873,Corrinne McClenan,Cherokee,Brazil,74
121-31-9246,Son Paradise,Japanese,Czech Republic,36
225-52-9933,Gilligan Goodbairn,Chippewa,Argentina,138
407-79-7525,Bill Nicholl,Kiowa,China,334
550-40-4214,Lulu Haldenby,Blackfeet,New Zealand,245
647-43-1103,Dougy Dudin,Bolivian,Russia,391
520-95-1920,Nissie Blakely,Peruvian,Indonesia,99
857-08-1933,Jakob McNaughton,American Indian,Puerto Rico,140
769-37-6913,Shelley Fison,Chilean,Estonia,29
582-77-6343,Fara Windsor,Bolivian,Brazil,53
738-18-5771,Krista Atyeo,Bangladeshi,Cameroon,27
638-20-0494,Nydia Cannon,Ottawa,Poland,183
310-87-2834,Jasen Beechcraft,South American,Thailand,358
564-72-7980,Flossi Clymo,Comanche,Mali,151
457-31-7123,Bessy Kerin,Colombian,Ethiopia,349
892-93-0070,Eduard Finnemore,Mexican,China,388
188-43-6538,Emanuele Mountain,Choctaw,Czech Republic,157
674-40-9626,Temple Dearnley,Creek,China,292
451-72-7608,Sergent Tyres,Yuman,Indonesia,165
574-87-8726,Red Tante,Cherokee,Sweden,73
275-52-0552,Dannie Selwyne,Yuman,Portugal,71
227-80-6990,Leoine Bonny,Costa Rican,Botswana,344
356-34-3402,Phelia Trobe,Yuman,United States,183
118-08-7679,Faulkner Wilsher,Venezuelan,Philippines,310
202-12-9759,Davine Tibalt,Cambodian,Sweden,11
602-09-3622,Dick Scyner,Latin American Indian,China,82
113-39-2020,Frayda Hardesty,Honduran,Mexico,306
593-72-3830,Wyn Hewertson,Salvadoran,France,336
863-82-1038,Alina MacFarland,Tongan,Dominican Republic,188
620-15-0094,Emmet Benck,Pueblo,Tanzania,28
178-99-4704,Cris Caplis,Chinese,Peru,39
142-44-5395,Ode Lomax,Polynesian,Colombia,280
268-16-8935,Kelli Feares,Chippewa,Philippines,20
520-31-9092,Alicia Locarno,Black or African American,Tajikistan,180
877-26-8914,Gunilla Nacci,Lumbee,Indonesia,113
484-79-8306,Marlin Haughton,Guatemalan,Philippines,282
444-97-8444,Buddie Hearthfield,Guatemalan,Peru,47
335-24-2234,Dorian Shanahan,Aleut,Japan,282
171-81-3355,Danica Bruneau,Fijian,Pakistan,261
592-11-9269,Der Brain,Yuman,China,78
510-78-0507,Jocelyn Osgarby,Chamorro,Czech Republic,346
